127.0.0.1 - - [24/Mar/2025:09:49:50 +0900] "GET / HTTP/1.1" 200 11428
0:0:0:0:0:0:0:1 - - [24/Mar/2025:10:02:14 +0900] "GET /project_mvc1_milk/milk.jsp HTTP/1.1" 200 6519
0:0:0:0:0:0:0:1 - - [24/Mar/2025:10:02:20 +0900] "POST /project_mvc1_milk/milk_delete.jsp HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [24/Mar/2025:10:02:21 +0900] "GET /project_mvc1_milk/milk.jsp HTTP/1.1" 200 6446
0:0:0:0:0:0:0:1 - - [24/Mar/2025:10:02:28 +0900] "POST /project_mvc1_milk/milk_delete.jsp HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [24/Mar/2025:10:02:28 +0900] "GET /project_mvc1_milk/milk.jsp HTTP/1.1" 200 6374
0:0:0:0:0:0:0:1 - - [24/Mar/2025:10:02:32 +0900] "POST /project_mvc1_milk/milk_delete.jsp HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [24/Mar/2025:10:02:33 +0900] "GET /project_mvc1_milk/milk.jsp HTTP/1.1" 200 6302
0:0:0:0:0:0:0:1 - - [24/Mar/2025:14:41:30 +0900] "GET /jsp_basic/java015_request.jsp HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [24/Mar/2025:14:41:59 +0900] "GET /jsp_basic/java015_request.jsp HTTP/1.1" 200 792
0:0:0:0:0:0:0:1 - - [24/Mar/2025:14:42:39 +0900] "GET /jsp_basic/java015_request.jsp HTTP/1.1" 200 824
0:0:0:0:0:0:0:1 - - [24/Mar/2025:14:43:40 +0900] "GET /jsp_basic/java015_request.jsp HTTP/1.1" 200 921
0:0:0:0:0:0:0:1 - - [24/Mar/2025:14:51:54 +0900] "GET /jsp_basic/java015_request.jsp HTTP/1.1" 200 1945
0:0:0:0:0:0:0:1 - - [24/Mar/2025:14:59:04 +0900] "GET /jsp_basic/java015_request.jsp HTTP/1.1" 200 1962
0:0:0:0:0:0:0:1 - - [24/Mar/2025:15:00:31 +0900] "GET /jsp_basic/java015_request.jsp HTTP/1.1" 200 2069
0:0:0:0:0:0:0:1 - - [24/Mar/2025:15:00:43 +0900] "GET /jsp_basic/java015_request.jsp HTTP/1.1" 200 2069
0:0:0:0:0:0:0:1 - - [24/Mar/2025:15:00:44 +0900] "GET /jsp_basic/java015_request.jsp HTTP/1.1" 200 2069
0:0:0:0:0:0:0:1 - - [24/Mar/2025:15:00:50 +0900] "GET /jsp_basic/java015_request.jsp HTTP/1.1" 200 2069
0:0:0:0:0:0:0:1 - - [24/Mar/2025:15:00:52 +0900] "GET /jsp_basic/java015_request.jsp HTTP/1.1" 200 2069
0:0:0:0:0:0:0:1 - - [24/Mar/2025:15:01:02 +0900] "GET /jsp_basic/java015_request.jsp HTTP/1.1" 200 2068
0:0:0:0:0:0:0:1 - - [24/Mar/2025:15:09:07 +0900] "GET /jsp_basic/java015_request.jsp HTTP/1.1" 200 2496
0:0:0:0:0:0:0:1 - - [24/Mar/2025:15:10:18 +0900] "GET /jsp_basic/jsp015_checkbox.jsp?username=123&option1=dog&option1=cat HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [24/Mar/2025:15:12:03 +0900] "GET /jsp_basic/java015_request.jsp HTTP/1.1" 200 2565
0:0:0:0:0:0:0:1 - - [24/Mar/2025:15:12:10 +0900] "GET /jsp_basic/jsp015_checkbox.jsp?username=123&option1=dog HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [24/Mar/2025:15:12:49 +0900] "GET /jsp_basic/jsp015_checkbox.jsp?username=123&option1=dog HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [24/Mar/2025:15:12:52 +0900] "GET /jsp_basic/java015_request.jsp HTTP/1.1" 200 2573
0:0:0:0:0:0:0:1 - - [24/Mar/2025:15:12:57 +0900] "GET /jsp_basic/jsp015_checkbox.jsp?username=12&option1=pig HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [24/Mar/2025:15:13:25 +0900] "GET /jsp_basic/jsp015_checkbox.jsp?username=12&option1=pig HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [24/Mar/2025:15:13:28 +0900] "GET /jsp_basic/java015_request.jsp HTTP/1.1" 200 2550
0:0:0:0:0:0:0:1 - - [24/Mar/2025:15:13:31 +0900] "GET /jsp_basic/jsp015_checkbox.jsp?username=1123&option1=dog HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [24/Mar/2025:15:13:53 +0900] "GET /jsp_basic/jsp015_checkbox.jsp?username=&option1=dog HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [24/Mar/2025:15:14:06 +0900] "GET /jsp_basic/jsp015_checkbox.jsp?username= HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [24/Mar/2025:15:14:39 +0900] "GET /jsp_basic/jsp015_checkbox.jsp?username= HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [24/Mar/2025:15:16:10 +0900] "GET /jsp_basic/jsp015_checkbox.jsp?username= HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [24/Mar/2025:15:17:30 +0900] "GET /jsp_basic/java015_request.jsp HTTP/1.1" 200 2689
0:0:0:0:0:0:0:1 - - [24/Mar/2025:15:19:12 +0900] "GET /jsp_basic/java015_request.jsp HTTP/1.1" 200 2684
0:0:0:0:0:0:0:1 - - [24/Mar/2025:15:19:19 +0900] "GET /jsp_basic/jsp015_checkbox.jsp?username=123&option1=dog HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [24/Mar/2025:15:20:13 +0900] "GET /jsp_basic/jsp015_checkbox.jsp?username=123&option1=dog HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [24/Mar/2025:15:20:43 +0900] "GET /jsp_basic/java015_request.jsp HTTP/1.1" 200 2684
0:0:0:0:0:0:0:1 - - [24/Mar/2025:15:27:05 +0900] "GET /jsp_basic/jsp015_checkbox.jsp?username=123&option1=dog&option1=cat&option1=pig HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [24/Mar/2025:15:27:21 +0900] "GET /jsp_basic/java015_request.jsp HTTP/1.1" 200 2684
0:0:0:0:0:0:0:1 - - [24/Mar/2025:15:27:29 +0900] "GET /jsp_basic/jsp015_checkbox.jsp?username=123&option1=dog HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [24/Mar/2025:15:39:06 +0900] "GET /jsp_basic/java015_request.jsp HTTP/1.1" 200 2684
0:0:0:0:0:0:0:1 - - [24/Mar/2025:15:39:09 +0900] "GET /jsp_basic/jsp015_checkbox.jsp?username=123&option1=dog&option1=cat HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [24/Mar/2025:15:42:18 +0900] "GET /jsp_basic/java015_request.jsp HTTP/1.1" 200 2684
0:0:0:0:0:0:0:1 - - [24/Mar/2025:15:42:23 +0900] "GET /jsp_basic/jsp015_checkbox.jsp?username=123&option1=dog&option1=cat HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [24/Mar/2025:15:42:57 +0900] "GET /jsp_basic/java015_request.jsp HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [24/Mar/2025:15:43:05 +0900] "GET /jsp_basic/jsp015_request.jsp HTTP/1.1" 200 2684
0:0:0:0:0:0:0:1 - - [24/Mar/2025:15:43:11 +0900] "GET /jsp_basic/jsp015_checkbox.jsp?username=123&option1=dog&option1=cat HTTP/1.1" 200 768
0:0:0:0:0:0:0:1 - - [24/Mar/2025:15:43:39 +0900] "GET /jsp_basic/jsp015_request.jsp HTTP/1.1" 200 2684
0:0:0:0:0:0:0:1 - - [24/Mar/2025:15:43:42 +0900] "GET /jsp_basic/jsp015_checkbox.jsp?username=123&option1=dog&option1=cat&option1=pig HTTP/1.1" 200 851
0:0:0:0:0:0:0:1 - - [24/Mar/2025:15:59:58 +0900] "GET /jsp_basic/jsp015_request.jsp HTTP/1.1" 200 4385
0:0:0:0:0:0:0:1 - - [24/Mar/2025:16:02:06 +0900] "GET /jsp_basic/jsp015_request.jsp HTTP/1.1" 200 4424
0:0:0:0:0:0:0:1 - - [24/Mar/2025:16:02:42 +0900] "GET /jsp_basic/jsp015_request.jsp HTTP/1.1" 200 4476
0:0:0:0:0:0:0:1 - - [24/Mar/2025:16:08:25 +0900] "GET /jsp_basic/jsp015_request.jsp HTTP/1.1" 200 4447
0:0:0:0:0:0:0:1 - - [24/Mar/2025:16:08:36 +0900] "GET /jsp_basic/jsp015_request.jsp HTTP/1.1" 200 4447
0:0:0:0:0:0:0:1 - - [24/Mar/2025:16:09:33 +0900] "GET /jsp_basic/jsp015_request.jsp HTTP/1.1" 200 4447
0:0:0:0:0:0:0:1 - - [24/Mar/2025:16:12:07 +0900] "GET /jsp_basic/jsp015_radio.jsp?username=123&optradio=yes HTTP/1.1" 200 763
0:0:0:0:0:0:0:1 - - [24/Mar/2025:16:12:12 +0900] "GET /jsp_basic/jsp015_radio.jsp?username=123&optradio=no HTTP/1.1" 200 762
0:0:0:0:0:0:0:1 - - [24/Mar/2025:16:30:38 +0900] "GET /jsp_basic/jsp015_radio.jsp?username=123&optradio=no HTTP/1.1" 200 762
0:0:0:0:0:0:0:1 - - [24/Mar/2025:16:33:03 +0900] "GET /jsp_basic/jsp015_request.jsp HTTP/1.1" 200 4412
0:0:0:0:0:0:0:1 - - [24/Mar/2025:16:33:07 +0900] "GET /jsp_basic/jsp015_radio.jsp?username=123&optradio=yes HTTP/1.1" 500 2547
0:0:0:0:0:0:0:1 - - [24/Mar/2025:16:38:42 +0900] "GET /jsp_basic/jsp015_request.jsp HTTP/1.1" 200 4376
0:0:0:0:0:0:0:1 - - [24/Mar/2025:16:38:45 +0900] "GET /jsp_basic/jsp015_radio.jsp?username=123&optradio=yes HTTP/1.1" 200 755
0:0:0:0:0:0:0:1 - - [24/Mar/2025:16:40:46 +0900] "GET /jsp_basic/jsp015_request.jsp HTTP/1.1" 200 4375
0:0:0:0:0:0:0:1 - - [24/Mar/2025:16:40:49 +0900] "GET /jsp_basic/jsp015_radio.jsp?username=123 HTTP/1.1" 200 763
0:0:0:0:0:0:0:1 - - [24/Mar/2025:16:41:27 +0900] "GET /jsp_basic/jsp015_request.jsp HTTP/1.1" 200 4381
0:0:0:0:0:0:0:1 - - [24/Mar/2025:16:41:30 +0900] "GET /jsp_basic/jsp015_radio.jsp?username=123 HTTP/1.1" 200 763
0:0:0:0:0:0:0:1 - - [24/Mar/2025:16:41:38 +0900] "GET /jsp_basic/jsp015_request.jsp HTTP/1.1" 200 4382
0:0:0:0:0:0:0:1 - - [24/Mar/2025:16:41:40 +0900] "GET /jsp_basic/jsp015_radio.jsp?username=123 HTTP/1.1" 200 763
0:0:0:0:0:0:0:1 - - [24/Mar/2025:16:43:52 +0900] "GET /jsp_basic/jsp015_request.jsp HTTP/1.1" 200 4378
0:0:0:0:0:0:0:1 - - [24/Mar/2025:16:43:56 +0900] "GET /jsp_basic/jsp015_radio.jsp?username=123 HTTP/1.1" 200 763
0:0:0:0:0:0:0:1 - - [24/Mar/2025:16:45:39 +0900] "GET /jsp_basic/jsp015_request.jsp HTTP/1.1" 200 4372
0:0:0:0:0:0:0:1 - - [24/Mar/2025:16:45:41 +0900] "GET /jsp_basic/jsp015_radio.jsp?username=123 HTTP/1.1" 200 763
0:0:0:0:0:0:0:1 - - [24/Mar/2025:16:47:36 +0900] "GET /jsp_basic/jsp015_request.jsp HTTP/1.1" 200 4371
0:0:0:0:0:0:0:1 - - [24/Mar/2025:16:47:48 +0900] "GET /jsp_basic/jsp015_request.jsp HTTP/1.1" 200 4377
0:0:0:0:0:0:0:1 - - [24/Mar/2025:16:47:49 +0900] "GET /jsp_basic/jsp015_radio.jsp?username=123 HTTP/1.1" 200 763
0:0:0:0:0:0:0:1 - - [24/Mar/2025:17:01:38 +0900] "GET /jsp_basic/jsp015_request.jsp HTTP/1.1" 200 5494
0:0:0:0:0:0:0:1 - - [24/Mar/2025:17:01:42 +0900] "GET /jsp_basic/jsp015_select.jsp?username=123&color=bg-danger HTTP/1.1" 200 727
0:0:0:0:0:0:0:1 - - [24/Mar/2025:17:03:07 +0900] "GET /jsp_basic/jsp015_select.jsp?username=123&color=bg-success HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [24/Mar/2025:17:06:27 +0900] "GET /jsp_basic/jsp015_request.jsp HTTP/1.1" 200 5552
0:0:0:0:0:0:0:1 - - [24/Mar/2025:17:06:47 +0900] "GET /jsp_basic/jsp015_request.jsp HTTP/1.1" 200 5543
0:0:0:0:0:0:0:1 - - [24/Mar/2025:17:35:29 +0900] "GET /jsp_basic/jsp016_response.jsp HTTP/1.1" 200 1386
0:0:0:0:0:0:0:1 - - [24/Mar/2025:17:40:19 +0900] "GET /jsp_basic/jsp016_response.jsp HTTP/1.1" 200 1617
0:0:0:0:0:0:0:1 - - [24/Mar/2025:17:40:48 +0900] "GET /jsp_basic/jsp016_response.jsp HTTP/1.1" 200 1624
0:0:0:0:0:0:0:1 - - [24/Mar/2025:17:53:51 +0900] "GET /jsp_basic/jsp016_child.jsp HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [24/Mar/2025:17:54:51 +0900] "GET /jsp_basic/jsp016_child.jsp HTTP/1.1" 200 699
0:0:0:0:0:0:0:1 - - [24/Mar/2025:17:55:14 +0900] "GET /jsp_basic/jsp016_adult.jsp HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [24/Mar/2025:18:01:01 +0900] "POST /jsp_basic/jsp016_response.jsp HTTP/1.1" 200 1871
0:0:0:0:0:0:0:1 - - [24/Mar/2025:18:01:07 +0900] "POST /jsp_basic/jsp016_response.jsp HTTP/1.1" 200 1871
0:0:0:0:0:0:0:1 - - [24/Mar/2025:18:01:12 +0900] "GET /jsp_basic/jsp016_response.jsp HTTP/1.1" 200 1871
0:0:0:0:0:0:0:1 - - [24/Mar/2025:18:01:22 +0900] "GET /jsp_basic/jsp016_2.jsp?userage=1 HTTP/1.1" 500 2681
0:0:0:0:0:0:0:1 - - [24/Mar/2025:18:02:07 +0900] "GET /jsp_basic/jsp016_response.jsp HTTP/1.1" 200 1871
0:0:0:0:0:0:0:1 - - [24/Mar/2025:18:02:09 +0900] "GET /jsp_basic/jsp016_2.jsp?userage=1 HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [24/Mar/2025:18:02:10 +0900] "GET /jsp_basic/jsp016_child.jsp HTTP/1.1" 200 699
0:0:0:0:0:0:0:1 - - [24/Mar/2025:18:02:19 +0900] "GET /jsp_basic/jsp016_2.jsp?userage=1 HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [24/Mar/2025:18:02:21 +0900] "GET /jsp_basic/jsp016_child.jsp HTTP/1.1" 200 699
0:0:0:0:0:0:0:1 - - [24/Mar/2025:18:02:29 +0900] "GET /jsp_basic/jsp016_2.jsp?userage=20 HTTP/1.1" 200 81
0:0:0:0:0:0:0:1 - - [24/Mar/2025:18:02:30 +0900] "GET /jsp_basic/jsp016_adult.jsp HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [24/Mar/2025:18:06:51 +0900] "GET /jsp_basic/jsp016_response.jsp HTTP/1.1" 200 1871
0:0:0:0:0:0:0:1 - - [24/Mar/2025:18:06:54 +0900] "GET /jsp_basic/jsp016_2.jsp?userage=21 HTTP/1.1" 200 81
0:0:0:0:0:0:0:1 - - [24/Mar/2025:18:06:55 +0900] "GET /jsp_basic/jsp016_adult.jsp HTTP/1.1" 200 722
0:0:0:0:0:0:0:1 - - [24/Mar/2025:18:08:02 +0900] "GET /jsp_basic/jsp016_response.jsp HTTP/1.1" 200 1871
0:0:0:0:0:0:0:1 - - [24/Mar/2025:18:08:02 +0900] "GET /jsp_basic/jsp016_response.jsp HTTP/1.1" 200 1871
0:0:0:0:0:0:0:1 - - [24/Mar/2025:18:08:03 +0900] "GET /jsp_basic/jsp016_response.jsp HTTP/1.1" 200 1871
0:0:0:0:0:0:0:1 - - [24/Mar/2025:18:08:05 +0900] "GET /jsp_basic/jsp016_2.jsp?userage=21 HTTP/1.1" 200 720
0:0:0:0:0:0:0:1 - - [24/Mar/2025:18:10:08 +0900] "GET /jsp_basic/jsp016_response.jsp HTTP/1.1" 200 1871
0:0:0:0:0:0:0:1 - - [24/Mar/2025:18:10:09 +0900] "GET /jsp_basic/jsp016_response.jsp HTTP/1.1" 200 1871
0:0:0:0:0:0:0:1 - - [24/Mar/2025:18:10:09 +0900] "GET /jsp_basic/jsp016_response.jsp HTTP/1.1" 200 1871
0:0:0:0:0:0:0:1 - - [24/Mar/2025:18:10:09 +0900] "GET /jsp_basic/jsp016_response.jsp HTTP/1.1" 200 1871
0:0:0:0:0:0:0:1 - - [24/Mar/2025:18:10:09 +0900] "GET /jsp_basic/jsp016_response.jsp HTTP/1.1" 200 1871
0:0:0:0:0:0:0:1 - - [24/Mar/2025:18:10:14 +0900] "GET /jsp_basic/jsp016_2.jsp?userage=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2025:18:10:14 +0900] "GET /jsp_basic/jsp016_child.jsp HTTP/1.1" 200 699
0:0:0:0:0:0:0:1 - - [24/Mar/2025:18:13:39 +0900] "GET /jsp_basic/jsp016_response.jsp HTTP/1.1" 200 1871
0:0:0:0:0:0:0:1 - - [24/Mar/2025:18:13:41 +0900] "GET /jsp_basic/jsp016_2.jsp?userage=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2025:18:13:41 +0900] "GET /jsp_basic/jsp016_child.jsp?userage=1 HTTP/1.1" 200 705
0:0:0:0:0:0:0:1 - - [24/Mar/2025:18:13:45 +0900] "GET /jsp_basic/jsp016_2.jsp?userage=20 HTTP/1.1" 200 720
0:0:0:0:0:0:0:1 - - [24/Mar/2025:18:13:48 +0900] "GET /jsp_basic/jsp016_2.jsp?userage=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2025:18:13:48 +0900] "GET /jsp_basic/jsp016_child.jsp?userage=1 HTTP/1.1" 200 705
0:0:0:0:0:0:0:1 - - [24/Mar/2025:18:14:43 +0900] "GET /jsp_basic/jsp016_response.jsp HTTP/1.1" 200 1871
0:0:0:0:0:0:0:1 - - [24/Mar/2025:18:14:46 +0900] "GET /jsp_basic/jsp016_2.jsp?userage=1 HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [24/Mar/2025:18:14:47 +0900] "GET /jsp_basic/jsp016_child.jsp HTTP/1.1" 200 708
0:0:0:0:0:0:0:1 - - [24/Mar/2025:18:14:59 +0900] "GET /jsp_basic/jsp016_response.jsp HTTP/1.1" 200 1871
0:0:0:0:0:0:0:1 - - [24/Mar/2025:18:15:01 +0900] "GET /jsp_basic/jsp016_2.jsp?userage=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2025:18:15:01 +0900] "GET /jsp_basic/jsp016_child.jsp?userage=1 HTTP/1.1" 200 705
0:0:0:0:0:0:0:1 - - [24/Mar/2025:18:16:47 +0900] "GET /jsp_basic/jsp016_response.jsp HTTP/1.1" 200 1877
0:0:0:0:0:0:0:1 - - [24/Mar/2025:18:16:48 +0900] "GET /jsp_basic/jsp016_2.jsp?userage=21 HTTP/1.1" 200 720
0:0:0:0:0:0:0:1 - - [24/Mar/2025:18:17:09 +0900] "GET /jsp_basic/jsp016_response.jsp HTTP/1.1" 200 1878
0:0:0:0:0:0:0:1 - - [24/Mar/2025:18:17:11 +0900] "POST /jsp_basic/jsp016_2.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2025:18:17:11 +0900] "GET /jsp_basic/jsp016_child.jsp?userage=1 HTTP/1.1" 200 705
0:0:0:0:0:0:0:1 - - [24/Mar/2025:18:17:15 +0900] "POST /jsp_basic/jsp016_2.jsp HTTP/1.1" 200 720
0:0:0:0:0:0:0:1 - - [24/Mar/2025:18:17:21 +0900] "POST /jsp_basic/jsp016_2.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2025:18:17:21 +0900] "GET /jsp_basic/jsp016_child.jsp?userage=1 HTTP/1.1" 200 705
